player_hands,dealer_faceup,useACE,winPro_stay,winPro_hit,winPro_doubledown,winPro_split
10,6,TRUE,0,0.6,0,0
10,6,FALSE,0,0.528824834,0.593639576,0.618644068
10,7,TRUE,0,0.72,0,0
10,7,FALSE,0,0.485006519,0.587064677,0.305555556
10,8,TRUE,0,0.5,0,0
10,8,FALSE,0,0.455223881,0.554108216,0.303571429
10,9,TRUE,0,0.43902439,0,0
10,9,FALSE,0,0.475277497,0.52020202,0.2375
10,10,TRUE,0,0.425925926,0,0
10,10,FALSE,0,0.368943798,0.416599517,0.314814815
11,1,TRUE,0,0.460526316,0,0
11,1,FALSE,0,0.496592016,0.45807771,0
11,2,TRUE,0,0.618705036,0,0
11,2,FALSE,0,0.523294509,0.561786085,0
11,3,TRUE,0,0.595890411,0,0
11,3,FALSE,0,0.546351085,0.609693878,0
11,4,TRUE,0,0.568493151,0,0
11,4,FALSE,0,0.540305011,0.603694374,0
11,5,TRUE,0,0.590909091,0,0
11,5,FALSE,0,0.582929195,0.603330069,0
11,6,TRUE,0,0.652777778,0,0
11,6,FALSE,0,0.602713178,0.648164727,0
11,7,TRUE,0,0.592105263,0,0
11,7,FALSE,0,0.53968254,0.589016829,0
11,8,TRUE,0,0.598591549,0,0
11,8,FALSE,0,0.520128824,0.553014553,0
11,9,TRUE,0,0.5625,0,0
11,9,FALSE,0,0.517269737,0.514092446,0
11,10,TRUE,0,0.454,0,0
11,10,FALSE,0,0.496396778,0.52173913,0
12,1,TRUE,0.090909091,0.538461538,0,0
12,1,FALSE,0.154761905,0.249066667,0.286315789,0.19047619
12,2,TRUE,0.291666667,0.5,0,0
12,2,FALSE,0.361609907,0.307453416,0.356083086,0.43877551
12,3,TRUE,0.533333333,0.53125,0,0
12,3,FALSE,0.377132319,0.295952782,0.345808383,0.382978723
12,4,TRUE,0.52,0.6,0,0
12,4,FALSE,0.390941597,0.335058215,0.375533428,0.45049505
12,5,TRUE,0.576923077,0.454545455,0,0
12,5,FALSE,0.418339664,0.337295691,0.373529412,0.4125
12,6,TRUE,0.391304348,0.375,0,0
12,6,FALSE,0.43049569,0.343324251,0.356421356,0.495934959
12,7,TRUE,0.222222222,0.5,0,0
12,7,FALSE,0.278284672,0.321076233,0.358880779,0.337349398
12,8,TRUE,0.323529412,0.375,0,0
