d_show,p_hand,p_1c,p_2c,p_2c_h,p_3c,p_3c_h,p_4c,p_4c_h,p_5c,p_5c_h,p_6c,p_6c_h,p_7c,p_7c_h,p_final_hand,d_final,d_hit,d_bust,p_initial,p_final,p_bust,p_win
5,"5,Q",5,Q,1,K,0,,0,,0,,0,,0,"5,Q,K",12,0,0,15,25,1,0
Q,"2,A",2,A,0,,0,,0,,0,,0,,0,"2,A",21,0,0,13,13,0,0
Q,"K,6",K,6,1,8,0,,0,,0,,0,,0,"K,6,8",20,0,0,16,24,1,0
3,"6,4",6,4,1,K,0,,0,,0,,0,,0,"6,4,K",18,1,0,10,20,0,1
5,"3,Q",3,Q,0,,0,,0,,0,,0,,0,"3,Q",17,1,0,13,13,0,0
5,"3,9",3,9,0,,0,,0,,0,,0,,0,"3,9",17,1,0,12,12,0,0
5,"2,6",2,6,1,7,1,J,0,,0,,0,,0,"2,6,7,J",16,0,0,8,25,1,0
10,"5,7",5,7,0,,0,,0,,0,,0,,0,"5,7",26,1,1,12,12,0,1
K,"J,9",J,9,0,,0,,0,,0,,0,,0,"J,9",22,1,1,19,19,0,1
7,"3,K",3,K,1,2,1,J,0,,0,,0,,0,"3,K,2,J",17,0,0,13,25,1,0
4,"2,8",2,8,1,J,0,,0,,0,,0,,0,"2,8,J",20,1,0,10,20,0,0
8,"5,7",5,7,1,9,0,,0,,0,,0,,0,"5,7,9",19,0,0,12,21,0,1
2,"K,10",K,10,0,,0,,0,,0,,0,,0,"K,10",21,1,0,20,20,0,0
6,"A,5",A,5,0,,0,,0,,0,,0,,0,"A,5",21,1,0,16,16,0,0
6,"7,8",7,8,1,6,0,,0,,0,,0,,0,"7,8,6",25,1,1,15,21,0,1
4,"4,K",4,K,1,A,1,3,0,,0,,0,,0,"4,K,A,3",22,1,1,14,18,0,1
A,"10,7",10,7,0,,0,,0,,0,,0,,0,"10,7",17,0,0,17,17,0,0
K,"2,3",2,3,1,6,1,J,0,,0,,0,,0,"2,3,6,J",19,1,0,5,21,0,1
A,"6,4",6,4,1,9,0,,0,,0,,0,,0,"6,4,9",17,1,0,10,19,0,1
3,"9,Q",9,Q,0,,0,,0,,0,,0,,0,"9,Q",17,1,0,19,19,0,1
9,"8,6",8,6,0,,0,,0,,0,,0,,0,"8,6",19,0,0,14,14,0,0
7,"9,A",9,A,0,,0,,0,,0,,0,,0,"9,A",17,0,0,20,20,0,1
3,"10,7",10,7,0,,0,,0,,0,,0,,0,"10,7",21,1,0,17,17,0,0
Q,"10,6",10,6,1,J,0,,0,,0,,0,,0,"10,6,J",17,0,0,16,26,1,0
5,"A,10",A,10,0,,0,,0,,0,,0,,0,"A,10",13,0,0,21,21,0,1
10,"7,3",7,3,1,4,1,2,1,9,0,,0,,0,"7,3,4,2,9",20,0,0,10,25,1,0
Q,"K,10",K,10,0,,0,,0,,0,,0,,0,"K,10",25,1,1,20,20,0,1
4,"K,2",K,2,1,3,1,9,0,,0,,0,,0,"K,2,3,9",12,0,0,12,24,1,0
Q,"5,7",5,7,0,,0,,0,,0,,0,,0,"5,7",18,0,0,12,12,0,0
4,"7,8",7,8,1,J,0,,0,,0,,0,,0,"7,8,J",12,0,0,15,25,1,0
9,"8,K",8,K,0,,0,,0,,0,,0,,0,"8,K",19,0,0,18,18,0,0
A,"8,7",8,7,0,,0,,0,,0,,0,,0,"8,7",23,1,1,15,15,0,1
2,"7,9",7,9,1,Q,0,,0,,0,,0,,0,"7,9,Q",7,0,0,16,26,1,0
6,"10,3",10,3,1,8,0,,0,,0,,0,,0,"10,3,8",25,1,1,13,21,0,1
2,"J,5",J,5,0,,0,,0,,0,,0,,0,"J,5",17,1,0,15,15,0,0
2,"3,8",3,8,1,Q,0,,0,,0,,0,,0,"3,8,Q",24,1,1,11,21,0,1
4,"J,3",J,3,1,7,0,,0,,0,,0,,0,"J,3,7",22,1,1,13,20,0,1
7,"5,7",5,7,0,,0,,0,,0,,0,,0,"5,7",25,1,1,12,12,0,1
3,"6,8",6,8,0,,0,,0,,0,,0,,0,"6,8",17,1,0,14,14,0,0
